EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-54.493,-34.404,-57.145,-339.523,-139.266,-118.636,-121.251,-51.256,-0.147,0.738,0.660,-3.754,-4.456,-0.244,86.667,15981.000,1.000
-43.526,-26.406,-47.884,-341.847,-125.485,-107.916,-107.562,-43.693,-0.146,0.738,0.661,-3.815,-4.944,-0.214,86.667,15982.000,1.000
-25.907,-13.477,-31.113,-314.922,-96.636,-83.160,-80.413,-29.660,-0.144,0.738,0.659,-3.693,-5.310,-0.183,86.667,15983.000,1.000
-7.257,-0.253,-12.750,-271.016,-62.538,-53.001,-48.721,-14.379,-0.142,0.738,0.659,-3.723,-5.676,-0.183,86.667,15984.000,1.000
9.054,10.637,3.116,-219.067,-29.418,-23.464,-18.113,-1.146,-0.139,0.737,0.660,-3.693,-5.951,-0.061,86.667,15985.000,1.000
21.353,17.949,14.412,-162.955,0.223,2.515,9.154,8.490,-0.139,0.736,0.658,-3.632,-6.226,0.031,86.667,15986.000,1.000
27.702,20.427,19.564,-108.954,22.930,21.570,29.924,12.994,-0.139,0.736,0.656,-3.510,-6.439,0.122,86.667,15987.000,1.000
26.175,17.289,17.543,-69.449,33.086,29.090,39.030,10.966,-0.139,0.736,0.657,-3.448,-6.561,0.122,86.667,15988.000,1.000
17.242,9.828,9.588,-55.577,27.794,23.128,33.724,3.177,-0.137,0.736,0.659,-3.357,-6.714,0.183,86.667,15989.000,1.000
4.593,1.352,-0.499,-67.646,11.081,7.489,17.558,-6.723,-0.136,0.737,0.658,-3.418,-6.805,0.153,86.667,15990.000,1.000
-7.416,-5.167,-8.896,-96.040,-8.974,-10.912,-2.030,-14.635,-0.132,0.738,0.656,-3.357,-6.714,0.183,86.667,15991.000,1.000
-16.795,-9.097,-14.400,-131.360,-27.099,-27.589,-19.779,-19.040,-0.128,0.740,0.655,-3.357,-6.683,0.183,86.667,15992.000,1.000
-23.890,-11.620,-18.173,-170.776,-43.297,-42.225,-35.071,-21.152,-0.125,0.742,0.655,-3.296,-6.592,0.092,86.667,15993.000,1.000
-28.602,-13.398,-21.030,-213.186,-58.310,-54.891,-48.307,-22.148,-0.123,0.740,0.656,-3.357,-6.378,0.183,86.667,15994.000,1.000
-28.823,-13.245,-21.589,-251.100,-68.619,-62.264,-56.616,-20.988,-0.120,0.738,0.655,-3.235,-6.073,0.336,86.667,15995.000,1.000
-22.655,-9.702,-17.776,-271.943,-68.270,-59.614,-55.316,-15.742,-0.119,0.739,0.655,-3.265,-5.798,0.397,86.667,15996.000,1.000
-11.582,-3.443,-9.860,-268.493,-55.477,-46.321,-43.443,-6.727,-0.118,0.738,0.653,-3.296,-5.432,0.488,86.667,15997.000,1.000
-0.027,2.989,-0.890,-244.991,-35.117,-27.461,-25.654,2.868,-0.115,0.735,0.656,-3.265,-5.157,0.549,86.667,15998.000,1.000
8.494,7.828,6.268,-210.995,-13.719,-9.030,-7.621,9.836,-0.110,0.735,0.658,-3.235,-4.608,0.488,86.667,15999.000,1.000
13.981,11.582,11.563,-171.306,6.544,7.274,9.085,13.690,-0.108,0.733,0.653,-3.326,-4.211,0.671,86.667,16000.000,1.000
18.415,15.566,16.805,-125.281,27.214,23.265,26.016,16.137,-0.103,0.730,0.653,-3.174,-3.693,0.793,86.667,16001.000,1.000
22.236,19.548,22.492,-75.785,47.535,38.838,42.353,18.238,-0.103,0.728,0.651,-3.021,-3.296,0.916,86.667,16002.000,1.000
23.402,21.634,26.654,-34.283,61.810,49.554,52.834,19.061,-0.101,0.727,0.654,-2.930,-2.533,1.068,86.667,16003.000,1.000
20.040,20.484,27.134,-13.401,64.297,50.826,52.485,17.487,-0.102,0.728,0.656,-2.747,-2.045,1.038,86.667,16004.000,1.000
12.763,16.701,23.892,-15.970,55.084,42.904,41.838,14.082,-0.102,0.727,0.656,-2.502,-1.495,1.068,86.667,16005.000,1.000
3.633,11.564,18.319,-34.531,39.232,30.063,25.754,10.133,-0.104,0.728,0.652,-2.411,-0.885,1.160,86.667,16006.000,1.000
-6.127,5.359,11.281,-60.950,21.051,15.757,8.061,5.600,-0.104,0.729,0.652,-2.289,-0.427,1.221,86.667,16007.000,1.000
-16.222,-2.115,2.910,-93.040,1.349,0.366,-10.688,-0.687,-0.104,0.730,0.653,-2.106,0.122,1.190,86.667,16008.000,1.000
-25.144,-9.698,-5.683,-129.947,-19.031,-15.741,-29.750,-8.524,-0.103,0.733,0.652,-2.106,0.519,1.129,86.667,16009.000,1.000
-29.090,-14.451,-11.310,-163.657,-34.765,-28.308,-44.246,-14.706,-0.106,0.734,0.655,-1.953,1.007,1.190,86.667,16010.000,1.000
-24.536,-13.927,-10.577,-180.177,-38.176,-30.924,-47.304,-15.103,-0.107,0.736,0.656,-2.014,1.465,1.129,86.667,16011.000,1.000
-12.123,-8.899,-3.395,-170.866,-26.614,-21.345,-36.750,-8.788,-0.106,0.736,0.656,-2.106,1.740,1.007,86.667,16012.000,1.000
3.142,-2.927,6.362,-139.623,-5.501,-4.157,-17.716,0.771,-0.108,0.737,0.658,-2.197,2.136,0.793,86.667,16013.000,1.000
16.018,1.151,14.479,-96.755,17.297,14.090,2.594,9.189,-0.109,0.740,0.657,-2.380,2.411,0.549,86.667,16014.000,1.000
24.657,3.552,19.947,-48.166,38.480,30.996,21.317,15.029,-0.111,0.741,0.657,-2.594,2.594,0.336,86.667,16015.000,1.000
29.838,5.970,24.180,5.780,58.925,47.810,39.477,19.430,-0.111,0.742,0.656,-2.777,2.777,0.092,86.667,16016.000,1.000
31.758,8.535,27.587,61.345,77.531,63.784,56.162,22.796,-0.109,0.740,0.656,-2.991,2.960,0.061,86.667,16017.000,1.000
29.072,9.331,28.399,106.454,88.689,73.845,66.145,23.553,-0.108,0.744,0.658,-3.174,3.143,-0.092,86.667,16018.000,1.000
21.220,6.806,25.061,128.291,87.350,73.177,64.683,20.448,-0.108,0.743,0.658,-3.387,3.357,-0.183,86.667,16019.000,1.000
10.340,1.648,18.545,124.438,74.839,62.535,52.995,14.758,-0.109,0.743,0.660,-3.723,3.510,-0.275,86.667,16020.000,1.000
-0.188,-4.154,11.369,103.229,57.397,47.169,36.952,9.159,-0.112,0.743,0.656,-3.906,3.662,-0.336,86.667,16021.000,1.000
