Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Elements
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,781.28204,776.04395,769.19415,793.36993,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,776.8498,776.4469,777.6557,790.54944,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,772.01465,774.0293,774.83514,787326,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,776.4469,772.01465,769.59705,786.9231,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,781.28204,777.25275,772.01465,787.72894,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,779.2674,778.86444,768.7912,788.93774,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,774.43225,778.0586,769.19415,786.1172,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,778.0586,783.2967,780.4762,787326,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,783.2967,786.9231,788.93774,789.34064,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,787.72894,787326,793.36993,795.38464,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,790.14655,787326,796.1905,800.6227,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,790.14655,784.5055,794.17584,801.8315,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,787326,780.87915,792.96704,804.2491,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,786.9231,784.5055,788.1319,801.02563,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,795.38464,788.93774,780.07324,796.99634,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,797.8022,789.34064,785.7143,796.1905,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,794.17584,783.2967,788.1319,796.1905,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,790.9524,781.28204,778.0586,791.75824,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,787.72894,788.5348,782.0879,792.1612,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,791.3553,790.9524,803.0403,803.8461,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,790.9524,790.9524,800.6227,801.02563,
