EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
6.755,-6.322,-17.740,3.543,-16.136,-21.076,-0.263,10.855,-0.028,1.005,-0.136,-2.960,0.092,0.763,73.333,30729.000,1.000
4.585,-4.633,-13.377,1.168,-16.461,-15.470,1.404,13.130,-0.028,1.007,-0.135,-2.930,0.031,0.702,73.333,30730.000,1.000
3.897,-0.762,-5.886,1.350,-13.265,-6.199,5.375,17.510,-0.027,1.007,-0.135,-2.838,0.061,0.824,73.333,30731.000,1.000
4.752,4.855,3.389,3.550,-7.410,6.158,11.410,23.380,-0.028,1.009,-0.135,-2.869,0.092,0.916,73.333,30732.000,1.000
6.115,10.454,12.220,6.197,-0.961,19.228,17.799,28.842,-0.029,1.008,-0.137,-2.777,0.092,1.129,73.333,30733.000,1.000
6.325,13.440,18.644,7.742,3.973,29.473,21.403,31.644,-0.026,1.008,-0.135,-2.655,0.031,1.099,73.333,30734.000,1.000
4.586,12.481,21.931,7.570,6.268,34.352,19.932,30.481,-0.027,1.007,-0.135,-2.625,0.000,1.251,73.333,30735.000,1.000
1.900,8.952,22.736,6.158,6.110,34.065,14.214,25.645,-0.028,1.008,-0.138,-2.655,0.061,1.465,73.333,30736.000,1.000
0.173,5.819,22.548,4.616,4.729,31.021,7.631,18.702,-0.030,1.008,-0.140,-2.686,-0.031,1.617,73.333,30737.000,1.000
0.388,5.047,22.831,4.024,3.724,27.755,3.162,11.662,-0.029,1.009,-0.138,-2.625,0.000,1.526,73.333,30738.000,1.000
1.722,6.123,24.037,4.619,3.897,25.141,1.047,5.838,-0.027,1.010,-0.138,-2.563,0.061,1.556,73.333,30739.000,1.000
2.494,6.965,25.164,5.461,4.526,22.271,-0.599,1.030,-0.028,1.009,-0.138,-2.472,0.000,1.587,73.333,30740.000,1.000
1.850,6.114,24.503,5.182,4.033,17.982,-3.189,-3.986,-0.030,1.010,-0.136,-2.502,-0.122,1.526,73.333,30741.000,1.000
0.263,3.730,20.880,3.039,1.326,12.065,-6.313,-10.252,-0.033,1.011,-0.135,-2.502,-0.275,1.465,73.333,30742.000,1.000
-1.376,0.692,14.389,-0.627,-3.465,5.003,-8.854,-17.786,-0.032,1.010,-0.139,-2.441,-0.397,1.495,73.333,30743.000,1.000
-2.409,-2.277,6.354,-4.551,-9.103,-2.565,-10.334,-25.410,-0.032,1.008,-0.139,-2.411,-0.458,1.404,73.333,30744.000,1.000
-2.135,-4.342,-1.422,-7.173,-14.027,-9.731,-10.617,-31.248,-0.031,1.009,-0.138,-2.380,-0.397,1.404,73.333,30745.000,1.000
