TimeStamp;Delta_TP9;Delta_AF7;Delta_AF8;Delta_TP10;Theta_TP9;Theta_AF7;Theta_AF8;Theta_TP10;Alpha_TP9;Alpha_AF7;Alpha_AF8;Alpha_TP10;Beta_TP9;Beta_AF7;Beta_AF8;Beta_TP10;Gamma_TP9;Gamma_AF7;Gamma_AF8;Gamma_TP10;RAW_TP9;RAW_AF7;RAW_AF8;RAW_TP10;AUX_RIGHT;Accelerometer_X;Accelerometer_Y;Accelerometer_Z;Gyro_X;Gyro_Y;Gyro_Z;HeadBandOn;HSI_TP9;HSI_AF7;HSI_AF8;HSI_TP10;Battery;Elements
21:55:30.460;0.22015071;0.0;0.0;0.37870663;0.75689113;0.0;0.0;0.6899266;0.9434781;0.0;0.0;0.8414636;0.9059844;0.0;0.0;0.8787983;0.5984645;0.0;0.0;0.73132986;824.7985;738.97437;747.8388;793.7729;923.91943;0.40087890625;-0.02667236328125;0.93255615234375;2.056121826171875;-3.96270751953125;-2.115936279296875;1;1.0;1.0;2.0;1.0;50.00;
21:55:31.474;0.05777951;0.0;0.0;0.09560589;0.7705297;0.0;0.0;0.7641162;0.90819156;0.0;0.0;0.8341909;0.9223091;0.0;0.0;1.0065459;0.73818266;0.0;0.0;0.7819431;875.16486;753.47986;943.2601;773.22345;620.9158;0.4036865234375;-0.02294921875;0.92913818359375;1.8841552734375;-4.20196533203125;-1.7047119140625;1;1.0;1.0;2.0;1.0;50.00;
21:55:32.480;-0.008775833;0.0;0.0;-0.18590802;-0.023596559;0.0;0.0;0.016763315;0.69714105;0.0;0.0;0.56018734;0.72093284;0.0;0.0;0.83945805;0.44168368;0.0;0.0;0.5179372;899.7436;789.7436;1055.6776;757.9121;636.2271;0.4051513671875;-0.02557373046875;0.9267578125;1.248626708984375;-4.029998779296875;-1.98883056640625;1;1.0;1.0;2.0;1.0;50.00;
21:55:33.485;0.90197045;0.0;0.0;0.73585886;0.6948209;0.0;0.0;0.5464613;0.65682757;0.0;0.0;0.56936574;0.7950962;0.0;0.0;0.74705315;0.21301983;0.0;0.0;0.32024026;778.0586;789.7436;771.2088;795.38464;811.0989;0.39794921875;-0.02392578125;0.92852783203125;1.375732421875;-4.149627685546875;-1.293487548828125;1;1.0;1.0;2.0;1.0;50.00;
21:55:34.491;0.42053315;0.0;0.0;0.38383597;0.26000765;0.0;0.0;0.27517214;0.6266432;0.0;0.0;0.5337862;0.8760063;0.0;0.0;0.7956457;0.52824014;0.0;0.0;0.466448;873.95605;791.3553;891.28204;771.2088;701.50183;0.3992919921875;-0.0281982421875;0.93072509765625;1.562652587890625;-4.4561767578125;-1.7047119140625;1;1.0;1.0;2.0;1.0;50.00;
21:55:35.494;0.07114457;0.0;0.0;-0.19993131;-0.09066138;0.0;0.0;-0.15702136;0.615588;0.0;0.0;0.7311083;0.76560867;0.0;0.0;0.8534563;0.5545749;0.0;0.0;0.5554745;902.96704;809.89014;1091.5385;801.4286;651.9414;0.4034423828125;-0.03607177734375;0.913818359375;1.854248046875;-5.39825439453125;-0.067291259765625;1;1.0;1.0;2.0;1.0;50.00;
21:55:36.515;0.30127227;0.0;0.0;0.10893337;0.5003893;0.0;0.0;0.2514737;0.8066125;0.0;0.0;0.97218555;0.82084554;0.0;0.0;0.79628605;0.4915484;0.0;0.0;0.5865155;901.3553;815.12823;1625.0183;826.8132;720.4396;0.40570068359375;-0.02947998046875;0.923095703125;0.620574951171875;-4.074859619140625;-2.22808837890625;1;1.0;1.0;2.0;1.0;50.00;
21:55:37.518;0.4775787;0.0;0.0;0.42344198;0.42030257;0.0;0.0;0.47572067;0.73824406;0.0;0.0;0.92959493;0.79423267;0.0;0.0;0.86750156;0.574179;0.0;0.0;0.7557762;896.1172;857.03296;916.26373;778.86444;759.5238;0.39990234375;-0.02703857421875;0.93084716796875;1.435546875;-3.9776611328125;-1.5252685546875;1;1.0;1.0;1.0;1.0;50.00;
21:55:38.521;0.4359927;0.0;0.0;0.6245971;0.5436326;0.0;0.0;0.4710634;0.60790104;0.0;0.0;0.8438077;0.6697366;0.0;0.0;0.8750791;0.374507;0.0;0.0;0.54521406;715.2015;792.5641;877.98535;828022;860.65936;0.39630126953125;-0.031005859375;0.9346923828125;1.024322509765625;-3.715972900390625;-1.98883056640625;1;1.0;1.0;1.0;1.0;50.00;
21:55:39.531;0.85403496;0.6703728;0.9012807;0.5670506;0.7692905;0.27795866;0.25225523;0.41868612;0.6399404;0.54908067;0.192046;0.8438077;0.8496535;0.8808325;0.81166434;0.8349695;0.37482747;0.41745597;0.64959884;0.4846365;868.71796;822381;840.9158;779.67035;674.10254;0.39794921875;-0.027587890625;0.930908203125;2.071075439453125;-5.226287841796875;-1.6448974609375;1;1.0;1.0;1.0;1.0;50.00;
21:55:40.541;0.7262177;0.43285415;0.9496373;0.44748017;0.6591108;0.11752253;-0.11593721;0.22607106;0.80054516;0.4798209;0.13951737;0.6389499;0.8443244;0.89390343;0.7661497;0.85308415;0.34735292;0.39349863;0.5951408;0.6614282;898.1319;838.0952;841.7216;778.86444;703.5165;0.398193359375;-0.0223388671875;0.9283447265625;1.248626708984375;-4.0972900390625;-1.996307373046875;1;1.0;1.0;1.0;1.0;50.00;
21:55:41.546;0.22390385;0.79416686;0.2628094;0.27891576;0.32827055;0.6125352;-0.27092558;0.15951549;0.9561924;0.6084529;0.17832813;0.7564796;0.6903626;0.8310082;0.79421324;0.8252738;0.3794703;0.68194616;0.76112574;0.5322329;719.6337;785.31134;806.26373;825.2015;968.24176;0.3934326171875;-0.02496337890625;0.9346923828125;1.7047119140625;-3.222503662109375;-1.936492919921875;1;1.0;1.0;1.0;1.0;50.00;
21:55:42.547;0.24646646;0.70059556;0.46014547;0.2014194;0.22623992;0.47178087;-0.31117007;0.20073345;0.9650948;0.6556573;0.25622952;0.7896036;0.6943334;0.8603855;0.72500443;0.79159814;0.48476055;0.6213285;0.71337557;0.5640027;839304;793.7729;807.8755;800.2198;1026.6666;0.3946533203125;-0.02789306640625;0.93310546875;1.487884521484375;-3.775787353515625;-1.742095947265625;1;1.0;1.0;1.0;1.0;50.00;
21:55:43.554;0.40784526;0.5950284;0.27187365;0.18924357;0.16152012;0.36044827;-0.10902006;0.19665006;0.82170165;0.5210523;0.21717852;0.959969;0.7382535;0.90905064;0.7942287;0.88150823;0.5541036;0.46456128;0.48241577;0.5726429;726.08057;806.26373;807.8755;820.3663;796.99634;0.4029541015625;-0.0216064453125;0.93255615234375;1.846771240234375;-4.209442138671875;-1.5252685546875;1;1.0;1.0;1.0;1.0;50.00;
21:55:44.569;0.2592043;0.6181708;0.13715991;0.037267514;0.5503262;0.3187018;0.012657776;0.52022064;0.72691673;0.45866114;0.18989326;0.9645076;0.7378686;0.8597832;0.8576281;0.8747088;0.5347136;0.51701295;0.46562475;0.57326686;909.41394;841.31866;821.5751;790.54944;789.7436;0.40179443359375;-0.02606201171875;0.9298095703125;1.278533935546875;-3.887939453125;-2.415008544921875;1;1.0;1.0;1.0;1.0;50.00;
21:55:45.574;0.18338178;0.51875556;0.275554;0.4155323;0.43426645;0.21426016;-0.29853398;0.5768133;0.88192254;0.4795258;-0.0053035673;0.8344435;0.69927424;0.81837386;0.7897214;0.86193043;0.5375424;0.47711813;0.7275413;0.6941007;815.12823;817.5458;813.91943;805.4579;735.7509;0.41082763671875;-0.02569580078125;0.91839599609375;1.614990234375;-4.02252197265625;-2.579498291015625;1;1.0;1.0;1.0;1.0;50.00;
21:55:46.577;0.26064008;0.27632025;0.28533912;0.49708176;0.5261223;0.04866454;-0.20534755;0.58375365;0.7827414;0.15959302;0.10162546;0.8238232;0.63000137;0.85919;0.74549276;0.808944;0.5120957;0.36055675;0.64776146;0.4975178;700293;799.81683;803.44324;809.89014;787326;0.415283203125;-0.0159912109375;0.92034912109375;2.400054931640625;-3.910369873046875;-1.816864013671875;1;1.0;1.0;1.0;1.0;50.00;
21:55:47.593;0.8346023;0.5774252;0.5898068;0.98561597;0.84940237;0.5168164;0.19158831;0.7322259;0.72459483;0.1877814;0.14838518;0.96906537;0.634834;0.8372757;0.71167755;0.83285534;0.38509893;0.49011397;0.47465202;0.55237937;900.14655;820.3663;813.1135;786.9231;746.63007;0.42181396484375;-0.01312255859375;0.9237060546875;1.428070068359375;-3.96270751953125;-2.519683837890625;1;1.0;1.0;1.0;1.0;50.00;
21:55:48.599;1.0088807;0.6578519;0.6418225;1.0600939;1.0468718;0.4970626;0.18101732;0.9751405;0.7949313;0.15670137;0.11368499;1.0140322;0.7668791;0.82292205;0.85351205;0.8916988;0.5167539;0.48866495;0.55030704;0.5968785;759.12085;785.7143;794.57874;811.9048;809.89014;0.41790771484375;-0.01715087890625;0.92340087890625;1.084136962890625;-4.59075927734375;-2.97576904296875;1;1.0;1.0;1.0;1.0;50.00;
21:55:49.604;0.8305117;0.34552425;0.31133622;0.50327206;0.52961016;0.13431178;-0.22593911;0.47575253;0.8102426;0.22021472;0.16218756;0.7620077;0.7042105;0.80726653;0.70084834;0.8977458;0.49554458;0.4416384;0.42799568;0.59659314;875.16486;790.54944;811.50183;775.2381;1007.72894;0.42230224609375;-0.02423095703125;0.92120361328125;1.4654541015625;-4.74029541015625;-1.6748046875;1;1.0;1.0;1.0;1.0;50.00;
21:55:50.607;0.749385;-0.46411887;-0.0090678185;0.6055281;0.7816097;-0.12118363;-0.062320977;0.5779009;0.9732924;0.35299367;0.43107995;0.73839754;0.8077822;0.8141858;0.7804208;0.8700452;0.6378796;0.41470876;0.5561095;0.5772105;724.0659;803.0403;828022;841.31866;828022;0.43218994140625;-0.0224609375;0.9163818359375;1.614990234375;-4.000091552734375;-1.5850830078125;1;1.0;1.0;1.0;1.0;50.00;
21:55:51.610;0.86126727;-0.07259621;0.38294688;0.8495194;0.84099793;-0.12813377;0.46578324;0.73637867;0.8773795;0.271383;0.2824098;0.8290162;0.7220457;0.8794371;0.99528474;0.762864;0.5649917;0.44135752;0.64997923;0.45177972;793.7729;806.6667;831.2454;809.0842;777.25275;0.4219970703125;-0.02923583984375;0.920654296875;1.60003662109375;-4.0972900390625;-1.973876953125;1;1.0;1.0;1.0;1.0;50.00;
21:55:51.887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/muse/elements/blink
