Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,Elements
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,793.7729,776.8498,776.4469,796.1905,-0.172607421875,-0.02630615234375,0.99053955078125,1.07666015625,-5.061798095703125,-2.220611572265625,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,791.3553,777.6557,782.49084,789.34064,-0.172607421875,-0.02630615234375,0.99053955078125,1.07666015625,-5.061798095703125,-2.220611572265625,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,785.7143,779.2674,787326,794.57874,-0.172607421875,-0.02630615234375,0.99053955078125,1.07666015625,-5.061798095703125,-2.220611572265625,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,791.3553,784.90845,794.57874,804.65204,-0.172607421875,-0.02630615234375,0.99053955078125,1.07666015625,-5.061798095703125,-2.220611572265625,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,799.81683,787.72894,784.90845,807.47253,-0.172607421875,-0.02630615234375,0.99053955078125,1.07666015625,-5.061798095703125,-2.220611572265625,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,792.96704,783.69965,777.6557,801.02563,-0.172607421875,-0.02630615234375,0.99053955078125,1.07666015625,-5.061798095703125,-2.220611572265625,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,784.90845,779.2674,776.4469,792.5641,-0.172607421875,-0.02630615234375,0.99053955078125,1.07666015625,-5.061798095703125,-2.220611572265625,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,781685,775.64105,767.98535,791.75824,-0.17645263671875,-0.0252685546875,0.995849609375,1.7047119140625,-4.05242919921875,-2.1533203125,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,781.28204,776.04395,769.19415,793.36993,-0.17645263671875,-0.0252685546875,0.995849609375,1.7047119140625,-4.05242919921875,-2.1533203125,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,776.8498,776.4469,777.6557,790.54944,-0.17645263671875,-0.0252685546875,0.995849609375,1.7047119140625,-4.05242919921875,-2.1533203125,
